Date,FCM_PV_MAE,FCM_Load_MAE,FCM_Price_MAE,FFNN_PV_MAE,FFNN_Load_MAE,FFNN_Price_MAE,S1_Grid_UncontrolledEV_Cost,S2_BESS_UncontrolledEV_MeanCost,S2_BESS_UncontrolledEV_StdCost,S3_PSO_OptimizedEV_MeanCost,S3_PSO_StdCost,S3_PSO_SavingsPct,S3_PSO_CV_Pct,P_S3_vs_S2,EV_Charge_kWh,EV_Discharge_kWh,EV_FinalSoC_pct,V2G_Service_kWh,BaselinePeak_kW,ProposedPeak_kW,PeakReduction_pct,DE_S3_MeanCost,DE_S3_StdCost,DE_SavingsPct
07-Nov-2012,0.0973404385262288,0.0831725778880637,0.0513302167378902,0.0672942247411814,0.0645714681457973,0.0810370271579582,71.1898785066248,69.683094511755,0.00170068290641999,61.0675755963358,0.727142433522792,14.2187388469093,1.19071770317082,0.001953125,17.7467742421151,2.14066649501029,70.0005522378151,2.304621853806,6.33531835271863,3.89733517171809,38.4824099637289,61.9433656158996,0.35833045910983,12.9885218021053
10-Nov-2012,0.0983050719858777,0.199564170845394,0.0379267885244324,0.106131448527896,0.215064547409362,0.0556414390408766,67.2285083702002,65.6466684594302,0.00659778651605214,57.0396963306648,1.1523939557001,15.1554932372286,2.02033676515308,0.001953125,17.7123192613102,2.11148776445172,70.0005958106555,2.00038459376416,6.1419670161026,3.6892581064301,39.9336060132226,58.2420370847321,0.570012399873608,13.3670543989808
13-Nov-2012,0.142097961103839,0.0451549560781263,0.044345906695045,0.141357054740845,0.0951560340083759,0.0589712739120771,63.7532878307011,62.2578183024187,0.00102897945475473,55.6904468725282,1.85953994978713,12.6469414088635,3.33906451503882,0.001953125,17.7701191703459,2.16027112604034,70.0009721188598,2.1738819499811,6.03674127976539,4.08065064921028,32.4030886848134,56.1829912585171,0.458593647018724,11.8743626090111
16-Nov-2012,0.0648964814839212,0.0741132448894447,0.0258533935932414,0.143197563653784,0.0536900312601153,0.0524187145176036,75.6893724302498,74.1590668082141,0.00575792484085624,66.3259069981625,1.1781986924011,12.3709117032462,1.77637780729292,0.001953125,17.7937505397168,2.18004667596667,70.0015863610045,2.42016883642289,6.28676703893383,4.26950990867233,32.0873529712277,67.7269185608634,0.620586330733345,10.5199100134224
18-Nov-2012,0.1056329647822,0.0827646506446906,0.0394972569014755,0.103023119879169,0.126310829356749,0.07151094958325,66.83657976961,64.9917870045047,0.000849883458733436,55.7148477602206,1.105947095696,16.6401872264062,1.98501322386386,0.001953125,17.9012951483266,2.27148197967587,70.0004734615971,2.18240636719025,6.2179395134411,3.75995313510518,39.5305610970094,57.1574684174152,0.337004810440958,14.4817574231945
21-Nov-2012,0.0680519073675473,0.0529270893919233,0.0260494076325149,0.0661594271381783,0.15040795883274,0.0679374600026866,69.3810665935639,67.9460254326821,0.0016456892546648,59.3483094632924,1.03191966053331,14.4603673925102,1.73875156658264,0.001953125,17.8121166709874,2.19577099453555,70.0010993363809,2.46873629861945,6.15426091052374,3.8599745715653,37.2796404363557,60.5756063142283,1.12911056693578,12.6914455364577
24-Nov-2012,0.137182872312348,0.157671480939218,0.108876364615947,0.0865917810242935,0.198074787341501,0.147569868978013,59.1549644127512,57.4467306327902,0.000931684622088856,49.5014256673486,1.39851546487161,16.3190677929335,2.82520239774443,0.001953125,18.352071317117,2.13458166547884,71.4092703731767,2.01256168653852,5.95653122255727,3.72579710678664,37.4502211509088,50.5041375345103,0.646692544089582,14.6240082537792
27-Nov-2012,0.147314673590677,0.0432937929606187,0.105014930995259,0.23176095562157,0.0436692421725519,0.125366296403481,82.2612958733411,80.7061715919505,0.00342102643890361,74.1109887712014,0.800132886949245,9.90782726628669,1.07964135982513,0.001953125,17.7866686727227,2.17431501044544,70.0008732449648,2.51130418533167,6.39500992417664,4.50086482877891,29.6191111171982,75.0482584633877,0.923357148791844,8.7684461244804
30-Nov-2012,0.182344210366411,0.195918174790328,0.0768647636651417,0.0972989302472926,0.121106659054989,0.073565713881983,82.3277994334937,80.8170944295135,0.00509409075849137,73.526020299126,0.718027577336992,10.6911385885858,0.97656254808276,0.001953125,17.6139460768288,2.02821475270683,70.0006228443508,2.03326366368829,6.40713395859925,4.41215437293804,31.1368483717072,74.6258062857116,0.48317325476772,9.35527634745537
03-Dec-2012,0.224792013724202,0.13965541496924,0.0621257738863265,0.267453612436966,0.160578252487397,0.0880430064072825,63.860985013432,62.1204696720299,0.00198118564612808,53.0074016438232,0.532499296065893,16.9956404012967,1.00457536033167,0.001953125,17.7050515680398,2.10537782557719,70.0004832109014,2.00719710096627,6.04595698671245,3.75105528323686,37.9576253770781,54.8876599412836,0.542202287549123,14.0513414728273
